topic,rank,term,weight
0,1,people,1.891362684738822
0,2,lockdown,1.422935056648553
0,3,home,0.9993918063443845
0,4,stay,0.989290931750929
0,5,get,0.9860589619179793
0,6,like,0.8519980732939082
0,7,one,0.8027942966613381
0,8,time,0.7053190680403574
0,9,day,0.6261124241063221
0,10,safe,0.6156255661719059
1,1,cases,2.7535544035869837
1,2,new,1.499885883434919
1,3,deaths,1.4470460201477675
1,4,total,1.4006758968441546
1,5,confirmed,0.6288958602288746
1,6,reported,0.588313797834653
1,7,number,0.4948758596748229
1,8,positive,0.46821337141870395
1,9,reports,0.3947201016061776
1,10,today,0.38735345714499153
2,1,help,1.1622215612859925
2,2,spread,1.0996966769503478
2,3,app,1.0551103694736723
2,4,symptoms,1.0335442910930572
2,5,selfreporting,1.0253402147881705
2,6,daily,1.02102760577281
2,7,download,1.0175900816099015
2,8,well,1.0091818400955024
2,9,sooner,1.00486199880055
2,10,identify,0.9982957457274038
3,1,us,3.54741392584383
3,2,join,0.3264025489907797
3,3,china,0.30634508415552536
3,4,trump,0.18260658850854003
3,5,let,0.17164574585645875
3,6,million,0.12796781121414122
3,7,realdonaldtrump,0.12137050865382598
3,8,drug,0.11804552534572987
3,9,deaths,0.11546133454219187
3,10,intelligence,0.11300763534525014
4,1,pandemic,1.633196690900825
4,2,health,0.8797805858094807
4,3,support,0.69102554722849
4,4,help,0.5958029357823525
4,5,crisis,0.5816902299471874
4,6,workers,0.45932505616069674
4,7,global,0.4301932271126639
4,8,read,0.42878583701345246
4,9,news,0.4105685853762934
4,10,need,0.40755658089158675
